impl,size,workers,iter,seconds
openmp_blocked,2000,1,5,0.99
openmp_bt,2000,1,6,2.79
openmp_blocked,2000,1,6,1.02
openmp_bt,2000,1,7,2.78
openmp_blocked,2000,1,7,1.02
openmp_bt,2000,1,8,2.75
openmp_blocked,2000,1,8,1.06
openmp_bt,2000,1,9,2.75
openmp_blocked,2000,1,9,1.00
openmp_bt,2000,1,10,2.72
openmp_blocked,2000,1,10,1.01
openmp_bt,2000,2,1,1.77
openmp_blocked,2000,2,1,0.64
openmp_bt,2000,2,2,1.82
openmp_blocked,2000,2,2,0.62
openmp_bt,2000,2,3,1.76
openmp_blocked,2000,2,3,0.62
openmp_bt,2000,2,4,1.76
openmp_blocked,2000,2,4,0.63
openmp_bt,2000,2,5,1.78
openmp_blocked,2000,2,5,0.61
openmp_bt,2000,2,6,1.80
openmp_blocked,2000,2,6,0.65
openmp_bt,2000,2,7,1.82
openmp_blocked,2000,2,7,0.63
openmp_bt,2000,2,8,1.83
openmp_blocked,2000,2,8,0.62
openmp_bt,2000,2,9,1.83
openmp_blocked,2000,2,9,0.61
openmp_bt,2000,2,10,1.81
openmp_blocked,2000,2,10,0.71
openmp_bt,2000,4,1,1.07
openmp_blocked,2000,4,1,0.48
openmp_bt,2000,4,2,1.05
openmp_blocked,2000,4,2,0.46
openmp_bt,2000,4,3,1.04
openmp_blocked,2000,4,3,0.49
openmp_bt,2000,4,4,1.05
openmp_blocked,2000,4,4,0.48
openmp_bt,2000,4,5,1.06
openmp_blocked,2000,4,5,0.43
openmp_bt,2000,4,6,1.04
openmp_blocked,2000,4,6,0.50
openmp_bt,2000,4,7,1.04
openmp_blocked,2000,4,7,0.50
openmp_bt,2000,4,8,1.04
openmp_blocked,2000,4,8,0.56
openmp_bt,2000,4,9,1.05
openmp_blocked,2000,4,9,0.48
openmp_bt,2000,4,10,1.04
openmp_blocked,2000,4,10,0.44
openmp_bt,2000,8,1,0.67
openmp_blocked,2000,8,1,0.38
openmp_bt,2000,8,2,0.69
openmp_blocked,2000,8,2,0.42
openmp_bt,2000,8,3,0.67
openmp_blocked,2000,8,3,0.42
openmp_bt,2000,8,4,0.68
openmp_blocked,2000,8,4,0.42
openmp_bt,2000,8,5,0.67
openmp_blocked,2000,8,5,0.41
openmp_bt,2000,8,6,0.68
openmp_blocked,2000,8,6,0.42
openmp_bt,2000,8,7,0.72
openmp_blocked,2000,8,7,0.41
openmp_bt,2000,8,8,0.68
openmp_blocked,2000,8,8,0.41
openmp_bt,2000,8,9,0.70
openmp_blocked,2000,8,9,0.42
openmp_bt,2000,8,10,0.68
openmp_blocked,2000,8,10,0.41
openmp_bt,2000,16,1,0.69
openmp_blocked,2000,16,1,0.37
openmp_bt,2000,16,2,0.59
openmp_blocked,2000,16,2,0.38
openmp_bt,2000,16,3,0.59
openmp_blocked,2000,16,3,0.39
openmp_bt,2000,16,4,0.60
openmp_blocked,2000,16,4,0.37
openmp_bt,2000,16,5,0.63
openmp_blocked,2000,16,5,0.39
openmp_bt,2000,16,6,0.62
openmp_blocked,2000,16,6,0.37
openmp_bt,2000,16,7,0.67
openmp_blocked,2000,16,7,0.37
openmp_bt,2000,16,8,0.65
openmp_blocked,2000,16,8,0.37
openmp_bt,2000,16,9,0.62
openmp_blocked,2000,16,9,0.38
openmp_bt,2000,16,10,0.64
openmp_blocked,2000,16,10,0.39
openmp_bt,2000,32,1,0.83
openmp_blocked,2000,32,1,0.39
openmp_bt,2000,32,2,0.68
openmp_blocked,2000,32,2,0.38
openmp_bt,2000,32,3,0.82
openmp_blocked,2000,32,3,0.41
openmp_bt,2000,32,4,0.64
openmp_blocked,2000,32,4,0.38
openmp_bt,2000,32,5,0.82
openmp_blocked,2000,32,5,0.39
openmp_bt,2000,32,6,0.66
openmp_blocked,2000,32,6,0.38
openmp_bt,2000,32,7,0.93
openmp_blocked,2000,32,7,0.40
openmp_bt,2000,32,8,0.73
openmp_blocked,2000,32,8,0.41
openmp_bt,2000,32,9,1.13
openmp_blocked,2000,32,9,0.47
openmp_bt,2000,32,10,0.82
openmp_blocked,2000,32,10,0.38
openmp_bt,2400,1,1,10.12
openmp_blocked,2400,1,1,2.19
openmp_bt,2400,1,2,6.02
openmp_blocked,2400,1,2,1.83
openmp_bt,2400,1,3,5.59
openmp_blocked,2400,1,3,1.90
openmp_bt,2400,1,4,5.34
openmp_blocked,2400,1,4,1.71
openmp_bt,2400,1,5,5.14
openmp_blocked,2400,1,5,1.77
openmp_bt,2400,1,6,5.05
openmp_blocked,2400,1,6,1.71
openmp_bt,2400,1,7,4.75
openmp_blocked,2400,1,7,1.69
openmp_bt,2400,1,8,4.82
openmp_blocked,2400,1,8,1.72
openmp_bt,2400,1,9,4.76
openmp_blocked,2400,1,9,1.72
openmp_bt,2400,1,10,4.93
openmp_blocked,2400,1,10,1.72
openmp_bt,2400,2,1,3.25
openmp_blocked,2400,2,1,1.02
openmp_bt,2400,2,2,3.12
openmp_blocked,2400,2,2,1.15
openmp_bt,2400,2,3,3.96
openmp_blocked,2400,2,3,1.16
openmp_bt,2400,2,4,3.52
openmp_blocked,2400,2,4,1.13
openmp_bt,2400,2,5,3.36
openmp_blocked,2400,2,5,1.01
openmp_bt,2400,2,6,3.05
openmp_blocked,2400,2,6,1.04
openmp_bt,2400,2,7,3.16
openmp_blocked,2400,2,7,1.10
openmp_bt,2400,2,8,3.07
openmp_blocked,2400,2,8,1.04
openmp_bt,2400,2,9,3.10
openmp_blocked,2400,2,9,1.10
openmp_bt,2400,2,10,3.07
openmp_blocked,2400,2,10,1.12
openmp_bt,2400,4,1,1.86
openmp_blocked,2400,4,1,0.79
openmp_bt,2400,4,2,1.79
openmp_blocked,2400,4,2,0.75
openmp_bt,2400,4,3,1.80
openmp_blocked,2400,4,3,0.86
openmp_bt,2400,4,4,1.78
openmp_blocked,2400,4,4,0.74
openmp_bt,2400,4,5,1.80
openmp_blocked,2400,4,5,0.83
openmp_bt,2400,4,6,1.82
openmp_blocked,2400,4,6,0.78
openmp_bt,2400,4,7,1.82
openmp_blocked,2400,4,7,0.83
openmp_bt,2400,4,8,1.82
